Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
MF-1021X,MF-1021X Bathroom Sink Faucet Touchless Deck Mount Oil Rubbed Bronze Centerset,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Watts Water Technologies (WATTS)
EK-1022B,"EK-1022B Pipe Fitting Coupling 3/4"" PVC Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
MF-1023X,"MF-1023X Pipe Fitting Elbow 1"" Brass 90 Degree",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Zurn Industries LLC (ZURN)
AS-1024A,AS-1024A Bar Prep Faucet Single Handle Widespread Brushed Nickel Low-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
DF-1025B,"DF-1025B Pipe Fitting Coupling 3/4"" Copper Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Watts Water Technologies (WATTS)
GR-1026G,"GR-1026G Pipe Fitting Elbow 3/4"" Copper Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kohler Co (KOHLR)
GR-1027G,"GR-1027G Pipe Fitting Coupling 1-1/2"" Copper Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,American Standard (AMSTD)
ZR-1028A,ZR-1028A Tub Shower Trim Kit Single Handle Deck Mount Brushed Nickel Thermostatic,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Zurn Industries LLC (ZURN)
CF-1029B,CF-1029B Kitchen Faucet Single Handle Deck Mount Oil Rubbed Bronze Pull-Down Sprayer,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Chicago Faucets Co (CHIFC)
MF-1030B,"MF-1030B Pipe Fitting Coupling 1/2"" Brass Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,T&S Brass and Bronze Works (TSBRS)
AS-1031X,AS-1031X Kitchen Faucet Single Handle Wall Mount Polished Brass Pull-Out Sprayer,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Zurn Industries LLC (ZURN)
TS-1032G,"TS-1032G Pipe Fitting Coupling 3/4"" PVC Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Chicago Faucets Co (CHIFC)
DF-1033G,DF-1033G Bathroom Sink Faucet Double Handle Wall Mount Matte Black Widespread,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
EK-1034A,"EK-1034A Pipe Fitting Coupling 1/2"" PVC Compression",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Moen Inc (MOEN)
AS-1035B,AS-1035B Bar Prep Faucet Double Handle Widespread Brushed Nickel Low-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
GR-1036G,GR-1036G Tub Shower Trim Kit Double Handle Deck Mount Brushed Nickel Pressure Balance,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kohler Co (KOHLR)
CF-1037A,CF-1037A Kitchen Faucet Single Handle Deck Mount Chrome Commercial Style,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,T&S Brass and Bronze Works (TSBRS)
AS-1038G,AS-1038G Tub Shower Trim Kit Double Handle Deck Mount Chrome Pressure Balance,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Watts Water Technologies (WATTS)
ZR-1039X,ZR-1039X Tub Shower Trim Kit Touchless Widespread Stainless Steel Thermostatic,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
GR-1040B,GR-1040B Bathroom Sink Faucet Touchless Widespread Chrome Vessel Mount,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,American Standard (AMSTD)
PF-1041A,PF-1041A Kitchen Faucet Double Handle Widespread Chrome Pull-Out Sprayer,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Elkay Manufacturing Co (ELKAY)
DF-1042B,DF-1042B Kitchen Faucet Single Handle Widespread Chrome Pull-Out Sprayer,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Zurn Industries LLC (ZURN)
TS-1043B,TS-1043B Tub Shower Trim Kit Single Handle Widespread Oil Rubbed Bronze Pressure Balance,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
TS-1044X,TS-1044X Tub Shower Trim Kit Touchless Deck Mount Matte Black Thermostatic,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,T&S Brass and Bronze Works (TSBRS)
WT-1045B,WT-1045B Bathroom Sink Faucet Double Handle Widespread Polished Brass Widespread,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
MF-1046G,MF-1046G Bar Prep Faucet Single Handle Widespread Oil Rubbed Bronze Low-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
CF-1047X,"CF-1047X Pipe Fitting Elbow 3/4"" PVC 90 Degree",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,American Standard (AMSTD)
GR-1048B,GR-1048B Bathroom Sink Faucet Touchless Widespread Stainless Steel Widespread,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Pfister Inc (PFSTR)
CF-1049A,"CF-1049A Pipe Fitting Elbow 1-1/2"" Copper 45 Degree",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,T&S Brass and Bronze Works (TSBRS)
KH-1050X,"KH-1050X Pipe Fitting Coupling 1/2"" Brass Compression",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Delta Faucet Co (DELTA)
GR-1051X,"GR-1051X Pipe Fitting Elbow 1-1/4"" Brass Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kohler Co (KOHLR)
EK-1052X,EK-1052X Bar Prep Faucet Double Handle Wall Mount Oil Rubbed Bronze Low-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,American Standard (AMSTD)
WT-1053X,WT-1053X Kitchen Faucet Double Handle Deck Mount Chrome Pull-Out Sprayer,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,T&S Brass and Bronze Works (TSBRS)
KH-1054G,"KH-1054G Pipe Fitting Coupling 1-1/4"" Copper Slip Joint",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grohe America Inc (GROHE)
DF-1055A,"DF-1055A Pipe Fitting Elbow 1-1/2"" Brass Threaded",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Moen Inc (MOEN)
TS-1056B,TS-1056B Kitchen Faucet Single Handle Deck Mount Stainless Steel High-Arc Spout,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Pfister Inc (PFSTR)
PF-1057B,PF-1057B Bar Prep Faucet Touchless Deck Mount Polished Brass Low-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Moen Inc (MOEN)
WT-1058B,WT-1058B Bar Prep Faucet Single Handle Deck Mount Brushed Nickel High-Arc,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Zurn Industries LLC (ZURN)
PF-1059G,PF-1059G Kitchen Faucet Single Handle Widespread Polished Brass High-Arc Spout,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kohler Co (KOHLR)
